n_airlines,m_slots,cap_per_airline,bidding_mode,seq_eff,seq_rev,seq_fair,seq_alpha_mean,seq_eq_gap,int_eff,int_rev,int_fair,int_alpha_mean,int_eq_gap,vcg_eff,vcg_rev,vcg_fair,seq_alpha_hub_early,seq_alpha_hub_mid,seq_alpha_hub_late,seq_alpha_p2p_early,seq_alpha_p2p_mid,seq_alpha_p2p_late,int_alpha_hub_len1,int_alpha_p2p_len1,int_alpha_hub_len2,int_alpha_p2p_len2,int_alpha_hub_len3,int_alpha_p2p_len3
12,10,3,truthful,1023.3737937702894,989.9308592768505,0.7999999999999999,1.0,0.0,796.1635939128323,796.1635939128323,0.7346938775510204,1.0,0.0,796.1635939128323,1008.107512776882,0.7346938775510204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,10,3,strategic,1021.0461817870716,822.1890581869031,0.7999999999999999,0.8152399999999999,13.431037067780386,943.038515465085,776.5473884480914,0.65625,0.7921999999999999,12.198212498047193,943.038515465085,826.1486494257741,0.65625,0.822272,0.8703679999999999,0.884432,0.752912,0.780368,0.781088,0.77504,0.7059200000000001,0.77,0.83072,0.8420000000000001,0.82952
12,10,3,truthful,994.5190876434303,994.5190876434302,0.82,1.0,0.0,453.99588962394796,453.99588962394796,0.375,1.0,0.0,453.99588962394796,1033.474218105523,0.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,10,3,strategic,994.5190876434303,829.2768337045302,0.82,0.8304079999999999,11.272575334210497,453.99588962394796,355.52177659240795,0.375,0.7840799999999999,11.465458223065534,453.99588962394796,804.8177295804799,0.375,0.8207359999999999,0.842768,0.8768959999999999,0.831248,0.7463839999999999,0.864416,0.73664,0.7419199999999999,0.7126399999999999,0.8158400000000001,0.8,0.8974399999999999
12,10,3,truthful,828.8203734163053,853.8430551904224,0.78,1.0,0.0,767.4581751478413,818.3096803132211,0.65625,1.0,0.0,767.4581751478413,925.5482730770085,0.65625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,10,3,strategic,872.9475527985443,691.9885905177053,0.78,0.796696,17.05989297370935,674.1750301967468,524.4627721992679,0.6938775510204082,0.74704,11.19733720622916,674.1750301967468,728.5994985264045,0.6938775510204082,0.863888,0.6706400000000001,0.938816,0.8160320000000001,0.7587200000000001,0.7320800000000001,0.78224,0.8218400000000001,0.7272799999999999,0.82064,0.8,0.53024
12,10,3,truthful,1056.1644930534821,1056.1644930534821,0.84,1.0,0.0,808.4322874952811,808.4322874952811,0.653061224489796,1.0,0.0,808.4322874952811,1063.8228080989402,0.653061224489796,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,10,3,strategic,1056.1644930534821,858.4052938886952,0.84,0.8130320000000001,13.004482259650535,1159.6079664058293,974.0589977495983,0.72,0.8037200000000001,10.618788602246523,1159.6079664058293,880.3561173355298,0.72,0.8433919999999999,0.8204480000000001,0.876416,0.7533920000000001,0.784544,0.8,0.7419199999999999,0.76688,0.7292000000000001,0.8540000000000001,0.8468,0.88352
12,10,3,truthful,1027.2364594332962,1027.2364594332962,0.86,1.0,0.0,779.3714957781606,779.3714957781606,0.6122448979591837,1.0,0.0,779.3714957781606,1057.141161805539,0.6122448979591837,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,10,3,strategic,1026.0050235435765,863.3250555536476,0.86,0.840736,11.018468881100395,779.3714957781606,630.4088894022999,0.6122448979591837,0.76984,9.846396363257142,779.3714957781606,864.8948545434575,0.6122448979591837,0.807536,0.874256,0.949856,0.7724,0.8298080000000001,0.81056,0.76736,0.80192,0.81464,0.5768,0.81008,0.84824
