n_airlines,m_slots,max_demand,bidding_mode,uniform_eff,uniform_rev,uniform_price,uniform_fair,disc_eff,disc_rev,disc_price,disc_fair,welfare_eff,welfare_fair,uniform_alpha,disc_alpha,uniform_eq_gap,disc_eq_gap,uniform_alpha0,disc_alpha0,uniform_alpha1,disc_alpha1,uniform_alpha2,disc_alpha2,uniform_alpha3,disc_alpha3,uniform_alpha4,disc_alpha4
20,25,5,strategic,3088.110129475371,1451.2360456917254,58.04944182766902,0.8575999999999999,3000.7968296758972,1820.9759745746737,53.72836604421348,0.8191999999999999,3088.110129475371,0.8575999999999999,0.6531106959999999,0.6424167039999998,49.04249097793057,32.95098755218043,0.6654113799999999,0.4957739199999999,0.6341051200000001,0.48204963999999995,0.6527978199999999,0.6719327799999999,0.5917305999999999,0.8373155199999998,0.7215085599999999,0.7250116599999998
20,25,5,truthful,3817.5828033504276,3136.162227051117,125.44648908204468,0.896,3817.5828033504276,3817.5828033504276,125.44648908204468,0.896,3817.5828033504276,0.896,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,25,5,strategic,3802.5185987843124,2181.678078350434,87.26712313401737,0.8864,3796.956438575746,2061.3118319483683,70.9113497175902,0.8832,3817.5828033504276,0.896,0.6881789319999998,0.562792624,39.910452726366884,35.34026862302119,0.6014938599999999,0.5297839,0.7802139399999999,0.5283041199999999,0.68389192,0.5643725799999999,0.7774475799999998,0.63293806,0.5978473599999999,0.5585644599999998
20,25,5,truthful,2601.4958352941626,2049.0908393380614,81.96363357352246,0.8928,2601.4958352941626,2601.495835294162,81.96363357352246,0.8928,2601.4958352941626,0.8928,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,25,5,strategic,2596.250687284063,1661.2772371828678,66.45108948731472,0.896,2571.088775742666,1514.0007332978894,49.427470094544205,0.8768,2601.4958352941626,0.8928,0.7269386319999999,0.590670568,25.57366279059572,33.0441125073541,0.8053277199999997,0.48379281999999996,0.8742785799999999,0.64927456,0.8154142,0.5455766199999998,0.6233801199999998,0.7724348799999998,0.5162925399999999,0.5022739599999999
20,25,5,truthful,3349.606716406506,2705.2138252480313,108.20855300992125,0.8672,3349.606716406506,3349.606716406506,108.20855300992125,0.8672,3349.606716406506,0.8672,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,25,5,strategic,3328.587342923617,1952.4014271267874,78.0960570850715,0.8735999999999999,3266.4648951878244,2031.7144333198949,69.15921428371709,0.8415999999999999,3349.606716406506,0.8672,0.708331456,0.6641017239999999,30.04080180039982,25.211258439718762,0.7765790199999999,0.5284401399999998,0.6703622199999998,0.55443844,0.7750984599999999,0.7049884,0.76324156,0.76672498,0.5563760199999999,0.7659166599999998
20,25,5,truthful,3772.1460532103447,2720.109134057907,108.80436536231628,0.8735999999999999,3772.1460532103447,3772.1460532103447,108.80436536231628,0.8735999999999999,3772.1460532103447,0.8735999999999999,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,25,5,strategic,3705.989997255694,1859.5876134593755,74.38350453837502,0.8704,3754.585938784462,2193.7475898873895,65.57008210958246,0.8448,3772.1460532103447,0.8735999999999999,0.6703662279999998,0.6115473879999999,41.13911824323203,33.64240756459265,0.8179912599999999,0.5591787399999999,0.53063242,0.4804684599999999,0.6456319599999999,0.6697736799999999,0.71289922,0.5876512599999999,0.6446762799999999,0.7606647999999999
30,38,5,truthful,4383.977325163759,3410.9067790695326,89.76070471235613,0.9210526315789473,4383.977325163759,4383.977325163759,89.76070471235613,0.9210526315789473,4383.977325163759,0.9210526315789473,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
