n_airlines,m_slots,max_demand,bidding_mode,uniform_eff,uniform_rev,uniform_price,uniform_fair,disc_eff,disc_rev,disc_price,disc_fair,welfare_eff,welfare_fair,uniform_alpha,uniform_eq_gap,disc_alpha,disc_eq_gap
30,38,5,strategic,5834.059551761744,3488.919317019377,91.81366623735202,0.9058171745152355,5834.059551761744,3926.80391103875,65.15303182304542,0.9058171745152355,5834.059551761744,0.9058171745152355,0.9485081277639997,6.5740349135861464,0.6730825896099999,2.985714322063302
30,38,5,truthful,5072.775339299326,3671.313250805581,96.61350660014688,0.9127423822714682,5072.775339299326,5072.775339299326,96.61350660014688,0.9127423822714682,5072.775339299326,0.9127423822714682,,,,
30,38,5,strategic,5072.775339299326,3191.5322929434833,83.98769191956535,0.9127423822714682,5072.775339299326,3735.8005966665446,71.15016366025957,0.9127423822714682,5072.775339299326,0.9127423822714682,0.869316256858,16.98962945604557,0.7364411681559998,1.8915481824480054
30,38,5,truthful,4407.86098139468,3386.5175970081623,89.11888413179373,0.9182825484764543,4407.86098139468,4407.86098139468,89.11888413179373,0.9182825484764543,4407.86098139468,0.9182825484764543,,,,
30,38,5,strategic,4407.86098139468,3053.2054044129495,80.34751064244603,0.9182825484764543,4407.86098139468,3258.681045985041,65.88456845291101,0.9182825484764543,4407.86098139468,0.9182825484764543,0.9015767132319998,19.227579547235187,0.7392885255999998,2.197791697804483
30,38,5,truthful,5408.700475437259,4166.791538489197,109.65240890761044,0.9210526315789473,5408.700475437259,5408.70047543726,109.65240890761044,0.9210526315789473,5408.700475437259,0.9210526315789473,,,,
30,38,5,strategic,5408.700475437259,3971.1501477666216,104.50395125701634,0.9210526315789473,5408.700475437259,3550.8295941055553,71.98716593427734,0.9210526315789473,5408.700475437259,0.9210526315789473,0.9530474733579997,17.783941139524444,0.6565032784179998,13.678419689138913
30,38,5,truthful,3825.280054409953,3082.5081566796084,81.11863570209496,0.9335180055401662,3825.280054409953,3825.280054409954,81.11863570209496,0.9335180055401662,3825.280054409953,0.9335180055401662,,,,
30,38,5,strategic,3825.280054409953,2653.596120298302,69.83147684995531,0.9335180055401662,3825.280054409953,2499.4146242939555,53.002421128056135,0.9335180055401662,3825.280054409953,0.9335180055401662,0.8608561552539998,5.8904509599217505,0.6533938924059999,10.877705722050173
30,38,5,truthful,4865.485850287511,3790.069001059236,99.7386579226115,0.9182825484764543,4865.485850287511,4865.48585028751,99.7386579226115,0.9182825484764543,4865.485850287511,0.9182825484764543,,,,
30,38,5,strategic,4865.485850287511,3518.299671372288,92.58683345716547,0.9182825484764543,4865.485850287511,3223.9474037464825,66.08840250635211,0.9182825484764543,4865.485850287511,0.9182825484764543,0.9282943583319998,8.843548615793715,0.662615718748,9.32541496676724
30,38,5,truthful,5675.370074990724,4056.8757522825686,106.75988821796234,0.9113573407202216,5675.370074990724,5675.370074990724,106.75988821796234,0.9113573407202216,5675.370074990724,0.9113573407202216,,,,
30,38,5,strategic,5675.370074990724,3819.1541924509156,100.50405769607674,0.9113573407202216,5675.370074990724,3301.2033391270925,62.09922785881913,0.9113573407202216,5675.370074990724,0.9113573407202216,0.9414027999999999,24.244563378019542,0.5816719078239999,9.118095490863737
40,50,5,truthful,5857.969213726745,4666.132175094864,93.32264350189728,0.9416,5857.969213726745,5857.969213726747,93.32264350189728,0.9416,5857.969213726745,0.9416,,,,
40,50,5,strategic,5857.969213726745,4182.473569946535,83.64947139893069,0.9416,5857.969213726745,4343.937641233258,69.20277814662373,0.9416,5857.969213726745,0.9416,0.8963469985419998,18.57572023602215,0.7415432691339998,6.798314911414501
40,50,5,truthful,6293.427984219118,4709.229641388177,94.18459282776354,0.9456,6293.427984219118,6293.427984219119,94.18459282776354,0.9456,6293.427984219118,0.9456,,,,
40,50,5,strategic,6293.427984219118,4487.495136417334,89.74990272834668,0.9456,6293.427984219118,4199.823802678784,62.85266087027945,0.9456,6293.427984219118,0.9456,0.9529149092619997,11.452431327738111,0.6673348472739999,3.610096668971174
40,50,5,truthful,6359.328536852552,5013.324908314896,100.26649816629792,0.9424,6359.328536852552,6359.32853685255,100.26649816629792,0.9424,6359.328536852552,0.9424,,,,
40,50,5,strategic,6359.328536852552,4637.337472095067,92.74674944190133,0.9424,6359.328536852552,4068.153505171909,64.14191429216851,0.9424,6359.328536852552,0.9424,0.9250023800379998,18.062829554927703,0.6397143159999998,7.115746377338013
40,50,5,truthful,7208.030402096476,4753.171919453346,95.06343838906693,0.9336,7208.030402096476,7208.030402096474,95.06343838906693,0.9336,7208.030402096476,0.9336,,,,
40,50,5,strategic,7208.030402096476,4067.31127553867,81.34622551077341,0.9336,7208.030402096476,4635.115381853565,61.1304310538,0.9336,7208.030402096476,0.9336,0.8557046419659999,25.10901951131357,0.6430488112959998,12.456219797881282
40,50,5,truthful,6592.219933224592,4892.516372786386,97.85032745572771,0.9296,6592.219933224592,6592.219933224593,97.85032745572771,0.9296,6592.219933224592,0.9296,,,,
40,50,5,strategic,6592.219933224592,4516.21007748983,90.3242015497966,0.9296,6592.219933224592,4031.374545526428,59.83891972237193,0.9296,6592.219933224592,0.9296,0.9230853273399999,21.499724237686074,0.6115352015499999,18.622342509996038
40,50,5,truthful,5599.738578935271,4173.297340724664,83.46594681449328,0.9376,5599.738578935271,5599.738578935269,83.46594681449328,0.9376,5599.738578935271,0.9376,,,,
40,50,5,strategic,5599.738578935271,3395.5356463193884,67.91071292638777,0.9376,5599.738578935271,3212.062021406158,47.876841760444485,0.9376,5599.738578935271,0.9376,0.8136337694379998,2.694076312039954,0.573609281242,23.523127378487587
40,50,5,truthful,6935.712041121301,5414.014158861368,108.28028317722736,0.9392,6935.712041121301,6935.712041121301,108.28028317722736,0.9392,6935.712041121301,0.9392,,,,
