n_airlines,m_slots,max_demand,bidding_mode,uniform_eff,uniform_rev,uniform_price,uniform_fair,disc_eff,disc_rev,disc_price,disc_fair,welfare_eff,welfare_fair,uniform_alpha,disc_alpha,uniform_eq_gap,disc_eq_gap,uniform_alpha0,disc_alpha0,uniform_alpha1,disc_alpha1,uniform_alpha2,disc_alpha2,uniform_alpha3,disc_alpha3,uniform_alpha4,disc_alpha4
20,25,5,truthful,3817.5828033504276,3136.162227051117,125.44648908204468,0.896,3817.5828033504276,3817.5828033504276,125.44648908204468,0.896,3817.5828033504276,0.896,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,25,5,strategic,3817.5828033504276,2894.4263833387063,115.77705533354825,0.896,3777.3474838392417,2505.9981947363367,84.78439710159924,0.8832,3817.5828033504276,0.896,0.9297279999999999,0.6999519999999999,0.09335782093242528,2.231800171365286,0.9812799999999999,0.6371199999999999,0.9616,0.57136,0.9183999999999999,0.78496,0.8835999999999999,0.75664,0.9037599999999999,0.74968
20,25,5,truthful,2601.4958352941626,2049.0908393380614,81.96363357352246,0.8928,2601.4958352941626,2601.495835294162,81.96363357352246,0.8928,2601.4958352941626,0.8928,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,25,5,strategic,2595.8006664182453,1934.0977209287507,77.36390883715002,0.9056,2584.1110089940316,1786.9166691049243,58.71590778701438,0.8704,2601.4958352941626,0.8928,0.880048,0.720544,0.5583859623785727,0.6150414308032808,0.9652,0.55264,0.9392799999999999,0.70648,0.9212799999999999,0.8773599999999999,0.71104,0.6028,0.86344,0.86344
20,25,5,truthful,3349.606716406506,2705.2138252480313,108.20855300992125,0.8672,3349.606716406506,3349.606716406506,108.20855300992125,0.8672,3349.606716406506,0.8672,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,25,5,strategic,3333.564104720862,2403.6857916241142,96.14743166496457,0.88,3314.3562175321485,2284.8638221632946,73.02240026517637,0.8575999999999999,3349.606716406506,0.8672,0.851056,0.742672,0.5505064058578242,2.5750306527143394,0.9560799999999999,0.53656,0.98272,0.49312,0.8620000000000001,0.9162399999999999,0.94648,0.78376,0.508,0.98368
20,25,5,truthful,3772.1460532103447,2720.109134057907,108.80436536231628,0.8735999999999999,3772.1460532103447,3772.1460532103447,108.80436536231628,0.8735999999999999,3772.1460532103447,0.8735999999999999,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,25,5,strategic,3765.3420754325552,2700.380746183645,108.01522984734578,0.8832,3736.4385821586393,2460.182961411827,75.05109630808226,0.8416,3772.1460532103447,0.8735999999999999,0.9329919999999999,0.6728320000000001,0.24426759491726813,1.6402694640658595,1.0,0.5725600000000001,0.97648,0.64792,0.96976,0.7012,0.80584,0.80512,0.9128799999999999,0.63736
30,38,5,truthful,4383.977325163759,3410.9067790695326,89.76070471235613,0.9210526315789473,4383.977325163759,4383.977325163759,89.76070471235613,0.9210526315789473,4383.977325163759,0.9210526315789473,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,38,5,strategic,4370.440709111104,3268.1159889332075,86.00305234034758,0.9307479224376731,4232.605466891274,2613.7737309386566,55.50873289948655,0.8850415512465374,4383.977325163759,0.9210526315789473,0.893728,0.6735520000000002,0.2440924589805249,2.8057935562182763,0.958,0.48160000000000003,0.9832,0.53152,0.9560799999999999,0.6332800000000001,0.9174399999999999,0.78952,0.6539200000000001,0.93184
